Cruise_ID,Date,DICTA_bottle,PH_bottle,salinity_psu
AR66A,2022-04-09,1598,1597,35.102
AR66A,2022-04-09,1599,NA,35.4091
AR66A,2022-04-09,1601,NA,35.4095
AR66A,2022-04-09,1641,NA,35.6524
AR66A,2022-04-09,1646,1642,35.0118
AR66A,2022-04-09,NA,1647,35.0116
AR66A,2022-04-10,1651,1649,35.6974
AR66A,2022-04-10,1652,NA,35.6992
AR66A,2022-04-10,1916,NA,35.6289
AR66A,2022-04-10,1917,NA,34.7699
AR66A,2022-04-10,1919,1918,33.8913
AR66A,2022-04-10,NA,1920,33.8885
AR66A,2022-04-11,1922,1921,35.1998
AR66A,2022-04-11,1923,NA,33.3184
AR66A,2022-04-11,1924,NA,33.2488
AR66A,2022-04-11,1926,1925,33.228
AR66A,2022-04-11,NA,1927,33.2244
AR66B,2022-04-22,1929,1928,35.1144
AR66B,2022-04-22,1930,NA,35.1148
AR66B,2022-04-22,1935,NA,35.4675
AR66B,2022-04-22,1936,NA,35.5805
AR66B,2022-04-22,1938,1937,34.8174
AR66B,2022-04-22,1940,1939,34.7954
AR66B,2022-04-23,1942,1941,35.6001
AR66B,2022-04-23,1943,NA,35.5995
AR66B,2022-04-23,1944,NA,35.4338
AR66B,2022-04-23,"1945,1946",NA,33.1327
AR66B,2022-04-23,1948,1947,33.0773
AR66B,2022-04-23,NA,1949,33.0802
AR66B,2022-04-24,1951,1950,35.3116
AR66B,2022-04-24,1952,NA,35.3139
AR66B,2022-04-24,1953,NA,33.615
AR66B,2022-04-24,1954,NA,33.0194
AR66B,2022-04-24,1956,1955,33.0001
AR66B,2022-04-24,NA,1957,33.0003
AR66B,2022-04-25,1959,1958,33.6076
AR66B,2022-04-25,1960,NA,33.6081
AR66B,2022-04-25,1961,NA,33.178
AR66B,2022-04-25,1962,NA,33.1315
AR66B,2022-04-25,1964,1963,33.1294
