Cruise_ID,station,start_lat,start_lon,btm_depth_m,niskin,date,time,trip_depth_m,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu,Notes
AR66A,2,39 56.411 N,70 52.981 W,447,1,2022-04-09,16:33:00,441,1597,1598,B1,35.102,NA
AR66A,2,39 56.411 N,70 52.981 W,447,3,2022-04-09,16:40:00,244,NA,1599,B3,35.4091,NA
AR66A,2,39 56.411 N,70 52.981 W,447,4,2022-04-09,16:40:00,244,NA,1601,B4,35.4095,NA
AR66A,2,39 56.411 N,70 52.981 W,447,5,2022-04-09,16:44:00,173,NA,1641,B5,35.6524,NA
AR66A,2,39 56.411 N,70 52.981 W,447,8,2022-04-09,16:53:00,7,1642,1646,B7,35.0118,NA
AR66A,2,39 56.411 N,70 52.981 W,447,9,2022-04-09,16:53:00,7,1647,NA,B8,35.0116,NA
AR66A,4,40 08.167 N,70 46.550 W,134,1,2022-04-10,16:21:00,129,1649,1651,B9,35.6974,NA
AR66A,4,40 08.167 N,70 46.550 W,134,2,2022-04-10,16:21:00,129,NA,1652,B10,35.6992,NA
AR66A,4,40 08.167 N,70 46.550 W,134,3,2022-04-10,16:26:00,63,NA,1916,B11,35.6289,NA
AR66A,4,40 08.167 N,70 46.550 W,134,5,2022-04-10,16:30:00,23,NA,1917,B13,34.7699,NA
AR66A,4,40 08.167 N,70 46.550 W,134,7,2022-04-10,16:33:00,6,1918,1919,B15,33.8913,NA
AR66A,4,40 08.167 N,70 46.550 W,134,8,2022-04-10,16:33:00,6,1920,NA,B16,33.8885,NA
AR66A,6,40 21.811 N,70 52.984 W,94,2,2022-04-11,22:19:00,91,1921,1922,A2,35.1998,NA
AR66A,6,40 21.811 N,70 52.984 W,94,3,2022-04-11,22:24:00,40,NA,1923,A3,33.3184,NA
AR66A,6,40 21.811 N,70 52.984 W,94,5,2022-04-11,22:27:00,20,NA,1924,A5,33.2488,NA
AR66A,6,40 21.811 N,70 52.984 W,94,7,2022-04-11,22:29:00,7,1925,1926,A7,33.228,NA
AR66A,6,40 21.811 N,70 52.984 W,94,8,2022-04-11,22:29:00,7,1927,NA,A8,33.2244,NA
AR66B,11,39 56.390 N,70 46.485 W,451,1,2022-04-22,14:59:00,446,1928,1929,B1,35.1144,NA
AR66B,11,39 56.390 N,70 46.485 W,451,2,2022-04-22,14:59:00,446,NA,1930,B2,35.1148,NA
AR66B,11,39 56.390 N,70 46.485 W,451,3,2022-04-22,15:05:00,223,NA,1935,B3,35.4675,NA
AR66B,11,39 56.390 N,70 46.485 W,451,5,2022-04-22,15:11:00,84,NA,1936,B5,35.5805,NA
AR66B,11,39 56.390 N,70 46.485 W,451,10,2022-04-22,15:19:00,8,1937,1938,B7,34.8174,NA
AR66B,11,39 56.390 N,70 46.485 W,451,11,2022-04-22,15:19:00,8,1939,1940,B8,34.7954,NA
AR66B,15,40 05.895 N,70 53. W,148,1,2022-04-23,15:18:00,144,1941,1942,B1,35.6001,NA
AR66B,15,40 05.895 N,70 53. W,148,2,2022-04-23,15:18:00,144,NA,1943,B2,35.5995,NA
AR66B,15,40 05.895 N,70 53. W,148,4,2022-04-23,15:21:00,100,NA,1944,B3,35.4338,NA
AR66B,15,40 05.895 N,70 53. W,148,10,2022-04-23,15:29:00,35,NA,"1945,1946",B5,33.1327,NA
AR66B,15,40 05.895 N,70 53. W,148,16,2022-04-23,15:35:00,7,1947,1948,B7,33.0773,NA
AR66B,15,40 05.895 N,70 53. W,148,17,2022-04-23,15:35:00,7,1949,NA,B8,33.0802,NA
AR66B,19,40 13.582 N,70 52.986 W,127,1,2022-04-24,14:19:00,122,1950,1951,B9,35.3116,NA
AR66B,19,40 13.582 N,70 52.986 W,127,2,2022-04-24,14:19:00,122,NA,1952,B10,35.3139,NA
AR66B,19,40 13.582 N,70 52.986 W,127,5,2022-04-24,14:24:00,55,NA,1953,B11,33.615,NA
AR66B,19,40 13.582 N,70 52.986 W,127,10,2022-04-24,14:30:00,25,NA,1954,B13,33.0194,NA
AR66B,19,40 13.582 N,70 52.986 W,127,16,2022-04-24,14:35:00,7,1955,1956,B15,33.0001,NA
AR66B,19,40 13.582 N,70 52.986 W,127,17,2022-04-24,14:35:00,7,1957,NA,B16,33.0003,NA
AR66B,21,40 21.885 N,70 46.550 W,94,1,2022-04-25,14:12,88,1958,1959,A1,33.6076,NA
AR66B,21,40 21.885 N,70 46.550 W,94,2,2022-04-25,14:12,88,NA,1960,A2,33.6081,NA
AR66B,21,40 21.885 N,70 46.550 W,94,3,2022-04-25,14:16,45,NA,1961,A3,33.178,NA
AR66B,21,40 21.885 N,70 46.550 W,94,6,2022-04-25,14:20,24,NA,1962,A5,33.1315,NA
AR66B,21,40 21.885 N,70 46.550 W,94,9,2022-04-25,14:25,7,1963,1964,A7,33.1294,NA
