Cruise_ID,station,start_lat,start_lon,btm_depth_m,niskin,date,time,trip_depth_m,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu
AR82A,6,35 56.993 N,75 07.549 W,35,1,2024-04-03,14:26:00,27,1701,1703,R1,32.2066
AR82A,6,35 56.993 N,75 07.549 W,35,2,2024-04-03,14:26:00,27,NA,1704,R2,32.2058
AR82A,6,35 56.993 N,75 07.549 W,35,3,2024-04-03,14:29:00,9,1705,1706,R3,30.6472
AR82A,6,35 56.993 N,75 07.549 W,35,4,2024-04-03,14:29:00,9,1707,NA,R4,30.8623
AR82A,9,36 10.499 N,74 49.596 W,104,1,2024-04-04,19:29:00,96,1708,1709,R6,33.1544
AR82A,9,36 10.499 N,74 49.596 W,104,2,2024-04-04,19:29:00,96,NA,1710,R7,33.1536
AR82A,9,36 10.499 N,74 49.596 W,104,3,2024-04-04,19:35:00,42,NA,1711,R8,32.7436
AR82A,9,36 10.499 N,74 49.596 W,104,5,2024-04-04,19:40:00,14,NA,1712,R10,32.6038
AR82A,9,36 10.499 N,74 49.596 W,104,7,2024-04-04,19:43:00,7,1713,1714,R12,32.5785
AR82A,9,36 10.499 N,74 49.596 W,104,8,2024-04-04,19:43:00,7,1715,NA,R13,32.5706
AR82A,11,35 43.455 N,74 51.073 W,101,1,2024-04-05,14:15:00,94,1788,1789,B6,34.1593
AR82A,11,35 43.455 N,74 51.073 W,101,2,2024-04-05,14:15:00,94,NA,1790,B7,34.1607
AR82A,11,35 43.455 N,74 51.073 W,101,3,2024-04-05,14:19:00,55,NA,1840,B8,33.5505
AR82A,11,35 43.455 N,74 51.073 W,101,5,2024-04-05,14:22:00,24,NA,1841,B10,34.3941
AR82A,11,35 43.455 N,74 51.073 W,101,8,2024-04-05,14:24:00,7,1842,1843,B12,31.8326
AR82A,17,36 03.233 N,74 46.675 W,300,1,2024-04-08,15:39:00,291,1844,1845,R1,35.1837
AR82A,17,36 03.233 N,74 46.675 W,300,2,2024-04-08,15:39:00,291,NA,1846,R2,35.1727
AR82A,17,36 03.233 N,74 46.675 W,300,3,2024-04-08,15:46:00,148,NA,1847,R3,36.0938
AR82A,17,36 03.233 N,74 46.675 W,300,5,2024-04-08,15:50:00,78,NA,1848,R5,33.502
AR82A,17,36 03.233 N,74 46.675 W,300,9,2024-04-08,15:57:00,7,1849,1850,R9,34.718
AR82A,17,36 03.233 N,74 46.675 W,300,10,2024-04-08,15:57:00,7,1901,NA,R10,34.7923
AR82A,18,35 51.083 N,74 50.909 W,295,1,2024-04-08,20:14:00,287,1902,1903,R11,35.192
AR82A,18,35 51.083 N,74 50.909 W,295,2,2024-04-08,20:14:00,287,NA,1904,R12,35.1941
AR82A,18,35 51.083 N,74 50.909 W,295,3,2024-04-08,20:24:00,98,NA,1905,R13,34.8121
AR82A,18,35 51.083 N,74 50.909 W,295,5,2024-04-08,20:28:00,48,NA,1906,R15,32.8134
AR82A,18,35 51.083 N,74 50.909 W,295,9,2024-04-08,20:35:00,7,1907,1908,R19,32.2464
AR82A,18,35 51.083 N,74 50.909 W,295,10,2024-04-08,20:35:00,7,1909,NA,R20,32.247
AR82B,1,35 57.036 N,75 19.971 W,27,1,2024-04-15,15:45:00,24,1910,1913,R1,32.1835
AR82B,1,35 57.036 N,75 19.971 W,27,3,2024-04-15,15:48:00,9,1914,1915,R3,31.9404
AR82B,1,35 57.036 N,75 19.971 W,27,4,2024-04-15,15:48:00,9,1977,NA,R4,31.9674
AR82B,3,35 57.041 N,74 50.800 W,101,1,2024-04-16,14:30:00,95,1978,1979,R11,35.2507
AR82B,3,35 57.041 N,74 50.800 W,101,2,2024-04-16,14:30:00,95,NA,2052,R12,35.2312
AR82B,3,35 57.041 N,74 50.800 W,101,3,2024-04-16,14:33:00,60,NA,2053,R13,33.2795
AR82B,3,35 57.041 N,74 50.800 W,101,5,2024-04-16,14:37:00,25,NA,2054,R15,32.1738
AR82B,3,35 57.041 N,74 50.800 W,101,7,2024-04-16,14:40:00,7,2095,2096,R17,31.0753
AR82B,3,35 57.041 N,74 50.800 W,101,8,2024-04-16,14:40:00,7,2097,NA,R18,31.0558
