Cruise_ID,Date,DICTA_bottle,PH_bottle,salinity_psu
AR61A,2021-10-30,1792,1791,35.1209
AR61A,2021-10-30,1793,NA,35.6907
AR61A,2021-10-30,1794,NA,35.6899
AR61A,2021-10-30,1795,NA,35.8435
AR61A,2021-10-30,1797,1796,35.3971
AR61A,2021-10-30,NA,1798,35.3995
AR61A,2021-11-01,1800,1799,34.3172
AR61A,2021-11-01,1801,NA,34.3221
AR61A,2021-11-01,1802,NA,33.1452
AR61A,2021-11-01,1803,NA,32.8344
AR61A,2021-11-01,1805,1804,32.8346
AR61A,2021-11-01,NA,1806,32.8331
AR61A,2021-11-03,1808,1807,35.8945
AR61A,2021-11-03,1809,NA,35.8945
AR61A,2021-11-03,1810,NA,35.713
AR61A,2021-11-03,1811,NA,35.2926
AR61A,2021-11-03,1813,1812,35.2355
AR61A,2021-11-03,NA,1814,35.2377
AR61B,2021-11-09,"1911, 1816",1815,35.1906
AR61B,2021-11-09,1817,NA,35.4369
AR61B,2021-11-09,1818,NA,35.4371
AR61B,2021-11-09,1819,NA,35.8125
AR61B,2021-11-09,1851,1820,35.5881
AR61B,2021-11-09,NA,1852,35.5914
AR61B,2021-11-10,"1912,1854",1853,35.1449
AR61B,2021-11-10,1855,NA,35.1457
AR61B,2021-11-10,1856,NA,35.4243
AR61B,2021-11-10,1857,NA,36.4727
AR61B,2021-11-10,1859,1858,35.6131
AR61B,2021-11-10,NA,1860,35.6133
AR61B,2021-11-10,1862,1861,35.9281
AR61B,2021-11-10,1863,NA,35.9291
AR61B,2021-11-10,1864,NA,35.9347
AR61B,2021-11-10,1865,NA,35.5782
AR61B,2021-11-10,1867,1866,35.5026
AR61B,2021-11-10,NA,1868,35.5028
AR61B,2021-11-10,1870,1869,35.8876
AR61B,2021-11-10,1871,NA,35.7774
AR61B,2021-11-10,1872,NA,35.8368
AR61B,2021-11-10,1873,NA,35.2243
AR61B,2021-11-10,1875,1874,33.4262
AR61B,2021-11-10,NA,1876,33.4241
AR61B,2021-11-11,1878,1877,34.2632
AR61B,2021-11-11,1879,NA,34.2636
AR61B,2021-11-11,1880,NA,33.0385
AR61B,2021-11-11,1881,NA,32.9476
AR61B,2021-11-11,1883,1882,32.9476
AR61B,2021-11-11,NA,1884,32.9471
AR61B,2021-11-12,1886,1885,34.4269
AR61B,2021-11-12,1887,NA,33.8326
AR61B,2021-11-12,1888,NA,33.8324
AR61B,2021-11-12,1889,NA,32.8389
AR61B,2021-11-12,1891,1890,32.8344
AR61B,2021-11-12,NA,1892,32.8365
AR61B,2021-11-14,1894,1893,35.8343
AR61B,2021-11-14,1895,NA,35.8378
AR61B,2021-11-14,1896,NA,33.8324
AR61B,2021-11-14,1897,NA,32.9921
AR61B,2021-11-14,1899,1898,32.9874
AR61B,2021-11-14,NA,1900,32.9897
