Cruise_ID,Date,DICTA_bottle,PH_bottle,salinity_psu
AR48A,2020-10-29,1657,1656,35.5579
AR48A,2020-10-29,1658,NA,35.5573
AR48A,2020-10-29,1659,NA,34.3439
AR48A,2020-10-29,1660,NA,33.9416
AR48A,2020-10-29,1662,1661,33.9203
AR48A,2020-10-29,NA,1663,33.9401
AR48A,2020-10-31,1665,1664,34.6329
AR48A,2020-10-31,1666,NA,34.6146
AR48A,2020-10-31,1667,NA,34.6288
AR48A,2020-10-31,1668,NA,34.631100000000004
AR48A,2020-10-31,1670,1669,34.6346
AR48A,2020-10-31,NA,1671,34.6348
AR48B,2020-11-04,1673,1672,35.073
AR48B,2020-11-04,1674,NA,35.4841
AR48B,2020-11-04,1675,NA,35.4847
AR48B,2020-11-04,1676,NA,35.7217
AR48B,2020-11-04,1678,1677,34.7948
AR48B,2020-11-04,NA,1679,34.7962
AR48B,2020-11-05,1681,1680,35.0683
AR48B,2020-11-05,1682,NA,35.4543
AR48B,2020-11-05,1683,NA,35.4529
AR48B,2020-11-05,1684,NA,35.7369
AR48B,2020-11-05,1686,1685,34.8296
AR48B,2020-11-05,NA,1687,34.8288
