Cruise_ID,Date,DICTA_bottle,PH_bottle,salinity_psu
AR52A,2021-03-30,1603,1602,35.1392
AR52A,2021-03-30,1604,NA,36.1947
AR52A,2021-03-30,1605,NA,36.1927
AR52A,2021-03-30,1606,NA,35.939
AR52A,2021-03-30,1608,1607,33.6037
AR52A,2021-03-30,NA,1609,33.5999
AR52A,2021-03-31,1611,1610,35.7489
AR52A,2021-03-31,1612,NA,35.7493
AR52A,2021-03-31,1613,NA,34.9774
AR52A,2021-03-31,1614,NA,33.731
AR52A,2021-03-31,1616,1615,33.6017
AR52A,2021-03-31,NA,1617,33.5546
AR52A,2021-03-31,1619,1618,35.6609
AR52A,2021-03-31,1620,NA,33.3693
AR52A,2021-03-31,1621,NA,33.3152
AR52A,2021-03-31,1622,NA,33.1649
AR52A,2021-03-31,1624,1623,32.9077
AR52A,2021-03-31,NA,1625,32.7921
AR52A,2021-04-02,1627,1626,35.7075
AR52A,2021-04-02,1628,NA,35.7081
AR52A,2021-04-02,1629,NA,34.1183
AR52A,2021-04-02,1630,NA,33.2586
AR52A,2021-04-02,1716,1631,33.0693
AR52A,2021-04-02,NA,1717,33.0609
AR52B,2021-04-09,1719,1718,35.1049
AR52B,2021-04-09,1720,NA,35.1059
AR52B,2021-04-09,1721,NA,35.3608
AR52B,2021-04-09,1722,NA,35.8295
AR52B,2021-04-09,1724,1723,33.2746
AR52B,2021-04-09,NA,1725,33.2742
AR52B,2021-04-10,1727,1726,35.0981
AR52B,2021-04-10,1728,NA,35.3417
AR52B,2021-04-10,1729,NA,35.3425
AR52B,2021-04-10,1730,NA,35.8587
AR52B,2021-04-10,1732,1731,33.1079
AR52B,2021-04-10,NA,1733,33.1051
AR52B,2021-04-11,1735,1734,35.8457
AR52B,2021-04-11,1736,NA,35.8465
AR52B,2021-04-11,1737,NA,35.7685
AR52B,2021-04-11,1738,NA,35.3043
AR52B,2021-04-11,1740,1739,33.5384
AR52B,2021-04-11,NA,1741,33.5153
AR52B,2021-04-12,1743,1742,34.2207
AR52B,2021-04-12,1744,NA,34.2291
AR52B,2021-04-12,1745,NA,33.1861
AR52B,2021-04-12,1746,NA,32.8291
AR52B,2021-04-12,1748,1747,32.7173
AR52B,2021-04-12,NA,1749,32.7125
AR52B,2021-04-13,1751,1750,35.1033
AR52B,2021-04-13,1752,NA,34.5076
AR52B,2021-04-13,1753,NA,34.5078
AR52B,2021-04-13,1754,NA,33.3357
AR52B,2021-04-13,1756,1755,33.2211
AR52B,2021-04-13,NA,1757,33.2207
